Number of Nodes,AVL Height (Random), BST Height (Random), AVL Height (Sorted), BST Height (Sorted), AVL Height (Reverse Sorted), BST Height (Reverse Sorted)
1,1,1,1,1,1,1
101,7,11,7,81,7,79
201,8,14,8,160,8,162
301,9,16,8,235,8,236
401,10,17,9,311,9,319
501,10,17,9,390,9,394
601,11,20,9,473,9,480
701,11,20,10,559,10,556
801,11,19,10,628,10,642
901,11,19,10,707,10,702
1001,11,21,10,795,10,794
1101,11,20,10,863,10,869
1201,12,21,10,940,10,943
1301,12,21,10,1027,10,1032
1401,12,23,11,1097,11,1110
1501,12,20,11,1179,11,1177
1601,12,22,11,1257,11,1264
1701,12,23,11,1333,11,1326
1801,12,23,11,1417,11,1421
1901,12,23,11,1494,11,1488
2001,13,24,11,1571,11,1568
2101,13,23,11,1671,11,1667
2201,13,24,11,1734,11,1722
2301,13,25,11,1809,11,1820
2401,13,23,11,1882,11,1896
2501,13,25,11,1970,11,1978
2601,13,25,12,2057,11,2052
2701,13,26,12,2122,12,2148
2801,13,25,12,2210,12,2197
2901,13,25,12,2288,12,2289
3001,13,24,12,2359,12,2355
3101,13,26,12,2440,12,2443
3201,13,23,12,2501,12,2524
3301,13,26,12,2592,12,2597
3401,13,26,12,2668,12,2678
3501,14,25,12,2739,12,2753
3601,14,25,12,2824,12,2834
3701,14,26,12,2911,12,2907
3801,14,27,12,3004,12,2972
3901,14,27,12,3071,12,3074
4001,14,26,12,3145,12,3151
4101,14,26,12,3225,12,3224
4201,14,27,12,3294,12,3297
4301,14,27,12,3384,12,3388
4401,14,25,12,3450,12,3498
4501,14,28,12,3556,12,3541
4601,14,26,12,3609,12,3616
4701,14,26,12,3718,12,3706
4801,14,28,12,3766,12,3784
4901,14,26,12,3855,12,3863
5001,14,26,12,3939,12,3951
5101,14,27,12,4016,12,4022
5201,14,26,12,4083,12,4094
5301,14,26,13,4199,13,4172
5401,14,28,13,4231,13,4245
5501,14,27,13,4344,13,4333
5601,15,29,13,4410,13,4414
5701,14,27,13,4498,13,4494
5801,14,27,13,4549,13,4575
5901,14,26,13,4633,13,4663
6001,15,27,13,4732,13,4745
6101,15,27,13,4786,13,4772
6201,15,28,13,4887,13,4891
6301,15,27,13,4948,13,4990
6401,14,29,13,5049,13,5012
6501,15,28,13,5125,13,5122
6601,15,29,13,5226,13,5180
6701,15,27,13,5268,13,5295
6801,15,30,13,5325,13,5348
6901,15,28,13,5436,13,5454
7001,15,29,13,5514,13,5510
7101,15,28,13,5559,13,5597
7201,15,30,13,5657,13,5664
7301,15,29,13,5733,13,5730
7401,15,30,13,5814,13,5814
7501,15,27,13,5884,13,5931
7601,15,29,13,5970,13,5994
7701,15,30,13,6083,13,6002
7801,15,29,13,6126,13,6145
7901,15,27,13,6221,13,6204
8001,15,29,13,6302,13,6267
8101,15,31,13,6356,13,6355
8201,15,29,13,6424,13,6418
8301,15,31,13,6550,13,6562
8401,15,30,13,6600,13,6633
8501,15,30,13,6692,13,6682
8601,15,29,13,6782,13,6770
8701,15,29,13,6838,13,6813
8801,15,31,13,6958,13,6953
8901,15,29,13,7024,13,7027
9001,15,29,13,7100,13,7063
9101,15,29,13,7189,13,7168
9201,15,29,13,7266,13,7240
9301,15,31,13,7310,13,7312
9401,15,29,13,7444,13,7400
9501,15,31,13,7439,13,7536
9601,15,30,13,7553,13,7568
9701,15,29,13,7627,13,7672
9801,15,31,13,7699,13,7737
9901,15,31,13,7787,13,7773
10001,16,30,13,7890,13,7898
